ticker,name,yahoo_symbol,sector,index
LUPIN,Lupin,LUPIN.NS,Pharma,NIFTYNEXT50
M&M,Mahindra & Mahindra,M&M.NS,Auto,NIFTY50
MAHSEAMLES,Maharashtra Seamless,MAHSEAMLES.NS,Metals,NIFTYNEXT50
MARICO,Marico,MARICO.NS,Consumer,NIFTYNEXT50
MARUTI,Maruti Suzuki,MARUTI.NS,Auto,NIFTY50
MAZDOCK,Mazagon Dock Shipbuilders,MAZDOCK.NS,Defence,NIFTYNEXT50
MON100,Motilal Oswal Nasdaq 100 ETF,MON100.NS,ETF,NIFTYNEXT50
MOTHERSON,Samvardhana Motherson,MOTHERSON.NS,Auto Ancillary,NIFTYNEXT50
MPHASIS,Mphasis,MPHASIS.NS,IT,NIFTYNEXT50
MUTHOOTFIN,Muthoot Finance,MUTHOOTFIN.NS,Financial Services,NIFTYNEXT50
NAUKRI,Info Edge India,NAUKRI.NS,Consumer Tech,NIFTYNEXT50
NESTLEIND,Nestle India,NESTLEIND.NS,Consumer,NIFTY50
NHPC,NHPC,NHPC.NS,Power,NIFTYNEXT50
NMDC,NMDC,NMDC.NS,Mining,NIFTYNEXT50
NTPC,NTPC,NTPC.NS,Power,NIFTY50
OFSS,Oracle Financial Services,OFSS.NS,IT,NIFTYNEXT50
ONGC,ONGC,ONGC.NS,Oil & Gas,NIFTY50
PAGEIND,Page Industries,PAGEIND.NS,Consumer,NIFTYNEXT50
PATELENG,Patel Engineering,PATELENG.NS,Infrastructure,NIFTYNEXT50
PERSISTENT,Persistent Systems,PERSISTENT.NS,IT,NIFTYNEXT50
PFC,Power Finance Corporation,PFC.NS,Financial Services,NIFTYNEXT50
PIDILITIND,Pidilite Industries,PIDILITIND.NS,Chemicals,NIFTYNEXT50
PNB,Punjab National Bank,PNB.NS,Banking,NIFTYNEXT50
POLYCAB,Polycab India,POLYCAB.NS,Capital Goods,NIFTYNEXT50
POWERGRID,Power Grid Corporation,POWERGRID.NS,Power,NIFTY50
RAMCOCEM,The Ramco Cements,RAMCOCEM.NS,Cement,NIFTYNEXT50
RECLTD,REC,RECLTD.NS,Financial Services,NIFTYNEXT50
RELIANCE,Reliance Industries,RELIANCE.NS,Conglomerate,NIFTY50
RVNL,Rail Vikas Nigam,RVNL.NS,Infrastructure,NIFTYNEXT50
SAIL,Steel Authority of India,SAIL.NS,Metals,NIFTYNEXT50
SBILIFE,SBI Life Insurance,SBILIFE.NS,Insurance,NIFTY50
SBIN,State Bank of India,SBIN.NS,Banking,NIFTY50
SHREECEM,Shree Cement,SHREECEM.NS,Cement,NIFTYNEXT50
SHRIRAMFIN,Shriram Finance,SHRIRAMFIN.NS,Financial Services,NIFTY50
SIEMENS,Siemens India,SIEMENS.NS,Capital Goods,NIFTYNEXT50
SILVERBEES,Nippon India Silver ETF,SILVERBEES.NS,ETF,NIFTYNEXT50
SOLARINDS,Solar Industries India,SOLARINDS.NS,Chemicals,NIFTYNEXT50
SOUTHBANK,South Indian Bank,SOUTHBANK.NS,Banking,NIFTYNEXT50
SRF,SRF,SRF.NS,Chemicals,NIFTYNEXT50
SUNPHARMA,Sun Pharmaceutical,SUNPHARMA.NS,Pharma,NIFTY50
SUZLON,Suzlon Energy,SUZLON.NS,Power,NIFTYNEXT50
TATACAP,Tata Capital,TATACAP.NS,Financial Services,NIFTYNEXT50
TATACHEM,Tata Chemicals,TATACHEM.NS,Chemicals,NIFTYNEXT50
TATACOMM,Tata Communications,TATACOMM.NS,Telecom,NIFTYNEXT50
TATACONSUM,Tata Consumer Products,TATACONSUM.NS,Consumer,NIFTY50
TATAELXSI,Tata Elxsi,TATAELXSI.NS,IT,NIFTYNEXT50
TATAMOTORS,Tata Motors,TATAMOTORS.NS,Auto,NIFTY50
TATAPOWER,Tata Power,TATAPOWER.NS,Power,NIFTYNEXT50
TATASTEEL,Tata Steel,TATASTEEL.NS,Metals,NIFTY50
TCS,Tata Consultancy Services,TCS.NS,IT,NIFTY50
TECHM,Tech Mahindra,TECHM.NS,IT,NIFTY50
THERMAX,Thermax,THERMAX.NS,Capital Goods,NIFTYNEXT50
TIINDIA,Tube Investments of India,TIINDIA.NS,Auto Ancillary,NIFTYNEXT50
TITAN,Titan Company,TITAN.NS,Consumer,NIFTY50
TMPV,Tata Motors Passenger Vehicles,TMPV.NS,Auto,NIFTYNEXT50
TORNTPHARM,Torrent Pharmaceuticals,TORNTPHARM.NS,Pharma,NIFTYNEXT50
TRENT,Trent,TRENT.NS,Retail,NIFTY50
TVSMOTOR,TVS Motor Company,TVSMOTOR.NS,Auto,NIFTYNEXT50
ULTRACEMCO,UltraTech Cement,ULTRACEMCO.NS,Cement,NIFTY50
UNIONBANK,Union Bank of India,UNIONBANK.NS,Banking,NIFTYNEXT50
UNITDSPR,United Spirits,UNITDSPR.NS,Consumer,NIFTYNEXT50
VAML,Vedanta Aluminium,VAML.NS,Metals,NIFTYNEXT50
VBL,Varun Beverages,VBL.NS,Consumer,NIFTYNEXT50
VEDL,Vedanta,VEDL.NS,Metals,NIFTYNEXT50
VEDPOWER,Vedanta Power,VEDPOWER.NS,Power,NIFTYNEXT50
VGUARD,V-Guard Industries,VGUARD.NS,Consumer,NIFTYNEXT50
VISL,Vedanta Iron & Steel,VISL.NS,Metals,NIFTYNEXT50
VOGL,Vedanta Oil & Gas,VOGL.NS,Oil & Gas,NIFTYNEXT50
WIPRO,Wipro,WIPRO.NS,IT,NIFTY50
YESBANK,Yes Bank,YESBANK.NS,Banking,NIFTYNEXT50
ZYDUSLIFE,Zydus Lifesciences,ZYDUSLIFE.NS,Pharma,NIFTYNEXT50
